2026-05-23 17:10:04 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.05, 'score_ratio': 0.25, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-23 17:10:04 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-23 18:55:40 | INFO | Epoch 2 | batch 600/1829 | loss=1.1342 | giou=0.4818 | bbox=0.0319 | ce=0.0549 | aux_giou=0.0389 | aux_bbox=0.0035 | aux_ce=0.0025 | mask=580 | aux_mask=657 | pos=72 | targets=72 | preds=418 | centerness=[-2.169, 0.147] | train_seen=1200
2026-05-23 18:57:26 | INFO | Epoch 2 | batch 650/1829 | loss=1.2505 | giou=0.5497 | bbox=0.1023 | ce=0.0489 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=520 | aux_mask=682 | pos=138 | targets=138 | preds=255 | centerness=[-2.872, -0.715] | train_seen=1300
2026-05-23 18:59:12 | INFO | Epoch 2 | batch 700/1829 | loss=1.5808 | giou=0.6871 | bbox=0.1597 | ce=0.0469 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=940 | aux_mask=1042 | pos=160 | targets=160 | preds=327 | centerness=[-2.297, -0.363] | train_seen=1400
2026-05-23 19:00:59 | INFO | Epoch 2 | batch 750/1829 | loss=1.0693 | giou=0.4814 | bbox=0.0593 | ce=0.0472 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=674 | aux_mask=771 | pos=213 | targets=213 | preds=386 | centerness=[-2.653, 0.364] | train_seen=1500
2026-05-23 19:02:45 | INFO | Epoch 2 | batch 800/1829 | loss=1.5421 | giou=0.6615 | bbox=0.0605 | ce=0.0453 | aux_giou=0.0508 | aux_bbox=0.0060 | aux_ce=0.0057 | mask=786 | aux_mask=838 | pos=185 | targets=185 | preds=657 | centerness=[-3.244, 0.028] | train_seen=1600
2026-05-23 19:04:31 | INFO | Epoch 2 | batch 850/1829 | loss=1.6498 | giou=0.7065 | bbox=0.0804 | ce=0.0314 | aux_giou=0.0578 | aux_bbox=0.0077 | aux_ce=0.0016 | mask=683 | aux_mask=1022 | pos=71 | targets=71 | preds=490 | centerness=[-3.696, -0.476] | train_seen=1700
2026-05-23 19:06:17 | INFO | Epoch 2 | batch 900/1829 | loss=1.1454 | giou=0.5309 | bbox=0.0284 | ce=0.0551 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=998 | aux_mask=1407 | pos=541 | targets=541 | preds=771 | centerness=[-2.654, 0.059] | train_seen=1800
2026-05-23 19:08:03 | INFO | Epoch 2 | batch 950/1829 | loss=1.5554 | giou=0.6578 | bbox=0.1712 | ce=0.0685 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=624 | aux_mask=962 | pos=39 | targets=39 | preds=268 | centerness=[-22.475, -0.664] | train_seen=1900
2026-05-23 19:09:49 | INFO | Epoch 2 | batch 1000/1829 | loss=1.4060 | giou=0.6048 | bbox=0.1221 | ce=0.0743 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=739 | aux_mask=954 | pos=296 | targets=296 | preds=424 | centerness=[-3.023, -0.827] | train_seen=2000
2026-05-23 19:11:35 | INFO | Epoch 2 | batch 1050/1829 | loss=1.4063 | giou=0.6193 | bbox=0.0857 | ce=0.0819 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=815 | aux_mask=1209 | pos=498 | targets=498 | preds=612 | centerness=[-2.829, -0.385] | train_seen=2100
2026-05-23 19:13:21 | INFO | Epoch 2 | batch 1100/1829 | loss=1.1452 | giou=0.4988 | bbox=0.0293 | ce=0.0441 | aux_giou=0.0361 | aux_bbox=0.0009 | aux_ce=0.0012 | mask=992 | aux_mask=1138 | pos=135 | targets=135 | preds=770 | centerness=[-3.135, -0.569] | train_seen=2200
2026-05-23 19:15:07 | INFO | Epoch 2 | batch 1150/1829 | loss=0.9879 | giou=0.4361 | bbox=0.0831 | ce=0.0326 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=825 | aux_mask=873 | pos=112 | targets=112 | preds=344 | centerness=[-2.897, -0.744] | train_seen=2300
2026-05-23 19:16:54 | INFO | Epoch 2 | batch 1200/1829 | loss=1.2990 | giou=0.5710 | bbox=0.0787 | ce=0.0782 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=771 | aux_mask=1034 | pos=292 | targets=292 | preds=474 | centerness=[-1.939, 0.044] | train_seen=2400
2026-05-23 19:18:40 | INFO | Epoch 2 | batch 1250/1829 | loss=0.9991 | giou=0.4296 | bbox=0.1210 | ce=0.0189 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=782 | aux_mask=1010 | pos=29 | targets=29 | preds=230 | centerness=[-3.044, -1.064] | train_seen=2500
2026-05-23 19:20:26 | INFO | Epoch 2 | batch 1300/1829 | loss=1.3069 | giou=0.5965 | bbox=0.0689 | ce=0.0449 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1293 | aux_mask=1181 | pos=182 | targets=182 | preds=746 | centerness=[-2.797, 0.099] | train_seen=2600
