2026-06-08 18:44:20 | INFO | Epoch 2 | batch 400/1829 | loss=1.4586 | giou=0.6309 | bbox=0.0494 | ce=0.0737 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=810 | aux_mask=759 | pos=213 | targets=213 | pre_nms=810 | post_nms=437 | post_verify=437 | thr=0.258 | centerness=[-1.259, 0.130] | train_seen=800
2026-06-08 18:46:41 | INFO | Epoch 2 | batch 450/1829 | loss=1.3109 | giou=0.5429 | bbox=0.0491 | ce=0.0880 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=931 | aux_mask=733 | pos=353 | targets=353 | pre_nms=930 | post_nms=439 | post_verify=439 | thr=0.206 | centerness=[-1.258, -0.342] | train_seen=900
2026-06-08 18:49:02 | INFO | Epoch 2 | batch 500/1829 | loss=1.1779 | giou=0.4765 | bbox=0.1504 | ce=0.0372 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=620 | aux_mask=666 | pos=27 | targets=27 | pre_nms=620 | post_nms=80 | post_verify=80 | thr=0.200 | centerness=[-1.362, -0.440] | train_seen=1000
2026-06-08 18:51:23 | INFO | Epoch 2 | batch 550/1829 | loss=1.8117 | giou=0.7313 | bbox=0.2552 | ce=0.0469 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=452 | aux_mask=610 | pos=61 | targets=61 | pre_nms=452 | post_nms=191 | post_verify=191 | thr=0.200 | centerness=[-1.506, -0.627] | train_seen=1100
2026-06-08 18:53:44 | INFO | Epoch 2 | batch 600/1829 | loss=1.2463 | giou=0.5328 | bbox=0.0651 | ce=0.0578 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=595 | aux_mask=572 | pos=124 | targets=124 | pre_nms=595 | post_nms=265 | post_verify=265 | thr=0.235 | centerness=[-1.439, 0.121] | train_seen=1200
2026-06-08 18:56:04 | INFO | Epoch 2 | batch 650/1829 | loss=0.9500 | giou=0.4011 | bbox=0.0440 | ce=0.0519 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=418 | aux_mask=410 | pos=46 | targets=46 | pre_nms=418 | post_nms=155 | post_verify=155 | thr=0.217 | centerness=[-1.398, -0.198] | train_seen=1300
2026-06-08 18:58:25 | INFO | Epoch 2 | batch 700/1829 | loss=1.1460 | giou=0.4874 | bbox=0.0743 | ce=0.0485 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=683 | aux_mask=667 | pos=76 | targets=76 | pre_nms=679 | post_nms=388 | post_verify=388 | thr=0.220 | centerness=[-1.461, -0.085] | train_seen=1400
2026-06-08 19:00:46 | INFO | Epoch 2 | batch 750/1829 | loss=1.1991 | giou=0.5073 | bbox=0.0512 | ce=0.0667 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=612 | aux_mask=672 | pos=130 | targets=130 | pre_nms=612 | post_nms=324 | post_verify=324 | thr=0.220 | centerness=[-1.532, -0.123] | train_seen=1500
2026-06-08 19:03:07 | INFO | Epoch 2 | batch 800/1829 | loss=0.8529 | giou=0.3468 | bbox=0.1040 | ce=0.0277 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=640 | aux_mask=669 | pos=31 | targets=31 | pre_nms=640 | post_nms=72 | post_verify=72 | thr=0.200 | centerness=[-1.648, -0.865] | train_seen=1600
2026-06-08 19:05:28 | INFO | Epoch 2 | batch 850/1829 | loss=1.4509 | giou=0.5515 | bbox=0.0381 | ce=0.0784 | aux_giou=0.0582 | aux_bbox=0.0104 | aux_ce=0.0132 | mask=1204 | aux_mask=914 | pos=963 | targets=634 | pre_nms=846 | post_nms=573 | post_verify=573 | thr=0.278 | centerness=[-1.323, 0.333] | train_seen=1700
