2026-05-25 16:41:57 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.3, 'score_ratio': 0.6, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-25 16:41:57 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-25 18:22:54 | INFO | Epoch 2 | batch 450/1829 | loss=1.0518 | giou=0.4699 | bbox=0.0673 | ce=0.0447 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=496 | aux_mask=725 | pos=70 | targets=70 | preds=0 | centerness=[-2.647, -1.262] | train_seen=900
2026-05-25 18:24:40 | INFO | Epoch 2 | batch 500/1829 | loss=1.1594 | giou=0.5241 | bbox=0.0371 | ce=0.0742 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1528 | aux_mask=1787 | pos=1184 | targets=1184 | preds=996 | centerness=[-1.726, 0.016] | train_seen=1000
2026-05-25 18:26:27 | INFO | Epoch 2 | batch 550/1829 | loss=1.1613 | giou=0.5342 | bbox=0.0570 | ce=0.0359 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=543 | aux_mask=800 | pos=94 | targets=94 | preds=62 | centerness=[-3.069, -0.711] | train_seen=1100
2026-05-25 18:28:13 | INFO | Epoch 2 | batch 600/1829 | loss=1.0843 | giou=0.4714 | bbox=0.0343 | ce=0.0256 | aux_giou=0.0378 | aux_bbox=0.0033 | aux_ce=0.0027 | mask=853 | aux_mask=794 | pos=72 | targets=72 | preds=16 | centerness=[-2.644, -0.634] | train_seen=1200
2026-05-25 18:30:00 | INFO | Epoch 2 | batch 650/1829 | loss=1.1135 | giou=0.4940 | bbox=0.0813 | ce=0.0444 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=571 | aux_mask=663 | pos=138 | targets=138 | preds=204 | centerness=[-2.738, -0.410] | train_seen=1300
2026-05-25 18:31:46 | INFO | Epoch 2 | batch 700/1829 | loss=1.1101 | giou=0.4907 | bbox=0.0745 | ce=0.0542 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=945 | aux_mask=1053 | pos=160 | targets=160 | preds=273 | centerness=[-2.310, -0.238] | train_seen=1400
2026-05-25 18:33:33 | INFO | Epoch 2 | batch 750/1829 | loss=1.2656 | giou=0.5741 | bbox=0.0639 | ce=0.0535 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=734 | aux_mask=705 | pos=213 | targets=213 | preds=153 | centerness=[-2.670, 0.088] | train_seen=1500
2026-05-25 18:35:20 | INFO | Epoch 2 | batch 800/1829 | loss=1.3468 | giou=0.5692 | bbox=0.0549 | ce=0.0440 | aux_giou=0.0492 | aux_bbox=0.0073 | aux_ce=0.0038 | mask=915 | aux_mask=1132 | pos=185 | targets=185 | preds=220 | centerness=[-3.101, -0.272] | train_seen=1600
2026-05-25 18:37:06 | INFO | Epoch 2 | batch 850/1829 | loss=1.6720 | giou=0.7061 | bbox=0.0684 | ce=0.0352 | aux_giou=0.0699 | aux_bbox=0.0142 | aux_ce=0.0022 | mask=754 | aux_mask=968 | pos=71 | targets=71 | preds=280 | centerness=[-2.896, -0.228] | train_seen=1700
2026-05-25 18:38:53 | INFO | Epoch 2 | batch 900/1829 | loss=1.1802 | giou=0.5342 | bbox=0.0519 | ce=0.0600 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1268 | aux_mask=1190 | pos=541 | targets=541 | preds=813 | centerness=[-2.286, -0.042] | train_seen=1800
2026-05-25 18:40:39 | INFO | Epoch 2 | batch 950/1829 | loss=1.5237 | giou=0.6506 | bbox=0.1976 | ce=0.0250 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=700 | aux_mask=1135 | pos=39 | targets=39 | preds=1 | centerness=[-5.062, -0.702] | train_seen=1900
2026-05-25 18:42:25 | INFO | Epoch 2 | batch 1000/1829 | loss=1.3870 | giou=0.6136 | bbox=0.0992 | ce=0.0605 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=891 | aux_mask=1127 | pos=296 | targets=296 | preds=141 | centerness=[-2.754, -0.607] | train_seen=2000
2026-05-25 18:44:12 | INFO | Epoch 2 | batch 1050/1829 | loss=1.3316 | giou=0.5713 | bbox=0.0676 | ce=0.1214 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=816 | aux_mask=1111 | pos=498 | targets=498 | preds=0 | centerness=[-3.116, -0.942] | train_seen=2100
